,press,vol,temp
0,101325.00,1.00,220.00
1,101325.00,1.00,220.00
2,101325.00,1.00,220.00
3,101325.00,1.00,220.00
4,101325.00,1.00,220.00
5,101325.00,1.00,220.00
6,101325.00,1.00,220.00
7,101325.00,1.00,220.00
8,101325.00,1.00,220.00
9,101325.00,1.00,220.00
10,101325.00,1.00,220.00
11,101325.00,1.00,220.00
12,101325.00,1.00,220.00
13,101325.00,1.00,220.00
14,101325.00,1.00,220.00
15,101325.00,1.00,220.00
16,101325.00,1.00,220.00
17,101325.00,1.00,220.00
18,101325.00,1.00,220.00
19,101325.00,1.00,220.00
20,101325.00,1.00,220.00
21,101325.00,1.00,220.00
22,101325.00,1.00,220.00
23,101325.00,1.00,220.00
24,101325.00,1.00,220.00
25,101325.00,1.00,220.00
26,101325.00,1.00,220.00
27,101325.00,1.00,220.00
28,101325.00,1.00,220.00
29,101325.00,1.00,220.00
30,101325.00,1.00,220.00
31,101325.00,1.00,220.00
32,101325.00,1.00,220.00
33,101325.00,1.00,220.00
34,101325.00,1.00,220.00
35,101325.00,1.00,220.00
36,101325.00,1.00,220.00
37,101325.00,1.00,220.00
38,101325.00,1.00,220.00
39,101325.00,1.00,220.00
40,101325.00,1.00,220.00
41,101325.00,1.00,220.00
42,101325.00,1.00,220.00
43,101325.00,1.00,220.00
44,101325.00,1.00,220.00
45,101325.00,1.00,220.00
46,101325.00,1.00,220.00
47,101325.00,1.00,220.00
48,101325.00,1.00,220.00
49,101325.00,1.00,220.00
50,101325.00,1.00,220.00
51,101325.00,1.00,220.00
52,101325.00,1.00,220.00
53,101325.00,1.00,220.00
54,101325.00,1.00,220.00
55,101325.00,1.00,220.00
56,101325.00,1.00,220.00
57,101325.00,1.00,220.00
58,101325.00,1.00,220.00
59,101325.00,1.00,220.00
60,101325.00,1.00,220.00
61,101325.00,1.00,220.00
62,101325.00,1.00,220.00
63,101325.00,1.00,220.00
64,101325.00,1.00,220.00
65,101325.00,1.00,220.00
66,101325.00,1.00,220.00
67,101325.00,1.00,220.00
68,101325.00,1.00,220.00
69,101325.00,1.00,220.00
70,101325.00,1.00,220.00
71,101325.00,1.00,220.00
72,101325.00,1.00,220.00
73,101325.00,1.00,220.00
74,101325.00,1.00,220.00
75,101325.00,1.00,220.00
76,101325.00,1.00,220.00
77,101325.00,1.00,220.00
78,101325.00,1.00,220.00
79,101325.00,1.00,220.00
80,101325.00,1.00,220.00
81,101325.00,1.00,220.00
82,101325.00,1.00,220.00
83,101325.00,1.00,220.00
84,101325.00,1.00,220.00
85,101325.00,1.00,220.00
86,101325.00,1.00,220.00
87,101325.00,1.00,220.00
88,101325.00,1.00,220.00
89,101325.00,1.00,220.00
90,101325.00,1.00,220.00
91,101325.00,1.00,220.00
92,101325.00,1.00,220.00
93,101325.00,1.00,220.00
94,101325.00,1.00,220.00
